"method","ticker","weight"
"ConstantCorr","ULTA",0.0390774940045155
"ConstantCorr","AZO",0.419233748222911
"ConstantCorr","CMG",-0.0676197344176874
"ConstantCorr","NKE",-0.252464597391496
"ConstantCorr","CROX",-0.0534022874965206
"ConstantCorr","LVS",-0.0626466368046322
"ConstantCorr","TSLA",-0.0102396461741498
"ConstantCorr","GM",-0.00639795436450945
"ConstantCorr","LYV",0.0399848391105641
"SIM","ETIHX",-0.0589405190780954
"SIM","VHCIX",0.0579906332947669
"SIM","CHGCY",-0.0348396434214545
"SIM","TAK",-0.0953727497142628
"SIM","D",-0.119964995081018
"SIM","EIX",-0.0424526375961604
"SIM","AES",-0.0711145577320627
"SIM","NRG",0.152016775983696
"SIM","AMD",0.00314272276092607
"SIM","AVGO",0.291272660397918
"SIM","TXN",-0.120654694855633
"SIM","CRM",-0.127661328686577
"SIM","CRWD",0.0425713031098056
"SIM","ORCL",0.14352328826449
"SIM","FTNT",0.0879327956431527
"SIM","IBM",0.241035663859647
"SIM","CSCO",0.149681846965076
"SIM","AKAM",-0.113189957702782
"SIM","SMCI",0.0484832106459392
"SIM","APO",0.106082611221682
"SIM","CME",0.286885007520389
"SIM","CBOE",0.644689756442136
"SIM","V",0.0593246734309311
"SIM","PYPL",-0.279983629994635
"SIM","FI",-0.104492024034482
"SIM","VRSK",-0.0902950027595009
"SIM","ROST",-0.0129871119414967
"SIM","ULTA",0.0403479527474109
"SIM","AZO",0.341990396022175
"SIM","CMG",-0.0664595854431251
"SIM","NKE",-0.277931448806394
"SIM","CROX",-0.0539277105257008
"SIM","LVS",-0.0292764504261826
"SIM","TSLA",-0.00624100441791316
"SIM","GM",-0.0163223072440392
"SIM","LYV",0.0251360611513726
"Shrinkage","ETIHX",0.0761236242880606
"Shrinkage","VHCIX",-0.0207722486921258
"Shrinkage","CHGCY",-0.0662225827727925
"Shrinkage","TAK",-0.0177155332632103
"Shrinkage","D",-0.00165001675080154
"Shrinkage","EIX",0.0208012147969389
"Shrinkage","AES",-0.0312360517874296
"Shrinkage","NRG",0.094848465694526
"Shrinkage","AMD",-0.0153167048999686
"Shrinkage","AVGO",0.24257122230988
"Shrinkage","TXN",0.0307613814254786
"Shrinkage","CRM",-0.0900871507001193
"Shrinkage","CRWD",0.00850933856235039
"Shrinkage","ORCL",0.0331763541775978
"Shrinkage","FTNT",-0.00199068164892842
"Shrinkage","IBM",0.11951689649561
"Shrinkage","CSCO",-0.000695315736806805
"Shrinkage","AKAM",-0.0627066695016751
"Shrinkage","SMCI",0.0141886130940118
"Shrinkage","APO",0.073264766003988
"Shrinkage","CME",0.19643988815289
"Shrinkage","CBOE",0.569973294342586
"Shrinkage","V",0.024335720753905
"Shrinkage","PYPL",-0.156133397327561
"Shrinkage","FI",-0.0878085398638244
"Shrinkage","VRSK",-0.0649011974102109
"Shrinkage","ROST",-0.0260217392778978
"Shrinkage","ULTA",-0.0185775101491162
"Shrinkage","AZO",0.263494461266964
"Shrinkage","CMG",0.0336645735997119
"Shrinkage","NKE",-0.166828157737763
"Shrinkage","CROX",0.0148911974922239
"Shrinkage","LVS",0.0127781434413856
"Shrinkage","TSLA",0.00393446867886112
"Shrinkage","GM",-0.0183648028102455
"Shrinkage","LYV",0.0137546757535077
